module_name,reason,rcs_staff
test,"This is a module testing directory.",bgregor
rcstools,"Internal RCS tools.",bgregor
fhspl,"Framingham Heart Study.",bgregor
vscode,"vscode causes endless trouble.",bgregor
casa,"This is a strange piece of CLI+GUI software. Highly difficult to test automatically.",bgregor
imager,"This is a strange piece of CLI+GUI software. Highly difficult to test automatically.",bgregor
miniconda,"Too dependent on successful Internet downloads, test fails often for reasons we can't control.",bgregor
