job_number, hostname, test_result,module, tests_passed, tests_failed, log_error_count, exit_code, installer, category, install_date,  workdir
6988712, scc-aa1.scc.bu.edu, PASSED, openmpi/4.1.5_intel-2023, 2, 0, 0, 0, bgregor, libraries, 06/16/23,  /projectnb/dvm-rcs/milechin/git/PkgAutoTest/nextflow/work/bc/7e989eb8e0d64e2fb92df7528399a3
6988715, scc-tn3.scc.bu.edu, FAILED, gdal/3.6.4, 14, 0, 0, 1, milechin, gis, 08/08/23,  /projectnb/dvm-rcs/milechin/git/PkgAutoTest/nextflow/work/d0/aa06913d53dde0b8450cea9f1c3769
6988718, scc-mh4.scc.bu.edu, FAILED, gdal/3.1.2, 18, 1, 0, 1, milechin, gis, 04/26/23,  /projectnb/dvm-rcs/milechin/git/PkgAutoTest/nextflow/work/aa/b8bf0d12dea8cef272e106c8ab6c8a
6988717, scc-ad6.scc.bu.edu, PASSED, openmpi/4.1.5, 2, 0, 0, 0, bgregor, libraries, 06/27/23,  /projectnb/dvm-rcs/milechin/git/PkgAutoTest/nextflow/work/f5/bd68b32081337f828d6c336343daf1
6988714, scc-ac1.scc.bu.edu, PASSED, openmpi/4.1.5_nvidia-2023-23.5, 2, 0, 0, 0, bgregor, libraries, 09/19/23,  /projectnb/dvm-rcs/milechin/git/PkgAutoTest/nextflow/work/c3/95dffbe21f094a49ec4a3f6b829c07
6988716, scc-aa4.scc.bu.edu, PASSED, openmpi/4.1.5_gnu-12.2.0, 2, 0, 0, 0, bgregor, libraries, 09/28/23,  /projectnb/dvm-rcs/milechin/git/PkgAutoTest/nextflow/work/88/8f93a7903694b4db4c2857a4dd7ab9
6988713, scc-aa6.scc.bu.edu, PASSED, openmpi/4.1.5_intel-2024, 2, 0, 0, 0, bgregor, libraries, 12/21/23,  /projectnb/dvm-rcs/milechin/git/PkgAutoTest/nextflow/work/69/5f8df5c9ef726be8868e00a8baf10f
